CallNumber,CallType,CallDate,Battalion
200071312,Alarms,01/07/2020,B03
200310051,Medical Incident,01/31/2020,B02
200070250,Alarms,01/07/2020,B07
200112975,Medical Incident,01/11/2020,B10
200230321,Medical Incident,01/23/2020,B02
200023831,Alarms,01/02/2020,B03
200390425,Medical Incident,02/08/2020,B01
200042401,Structure Fire,01/04/2020,B01
200093800,Medical Incident,01/09/2020,B03
200331972,Traffic Collision,02/02/2020,B10
200142997,Medical Incident,01/14/2020,B04
200360712,Structure Fire,02/05/2020,B06
200201881,Medical Incident,01/20/2020,B01
200253168,Medical Incident,01/25/2020,B01
200371642,Structure Fire,02/06/2020,B07
200330127,Medical Incident,02/02/2020,B03
200372622,Medical Incident,02/06/2020,B06
200144138,Medical Incident,01/14/2020,B02
200030316,Traffic Collision,01/03/2020,B04
200350254,Gas Leak (Natural and LP Gases),02/04/2020,B04
200092555,Medical Incident,01/09/2020,B01
200373823,Medical Incident,02/06/2020,B04
200311572,Alarms,01/31/2020,B08
200251397,Medical Incident,01/25/2020,B09
200330684,Medical Incident,02/02/2020,B02
200031482,Medical Incident,01/03/2020,B07
200153529,Medical Incident,01/15/2020,B08
200322314,Medical Incident,02/01/2020,B02
200362346,Alarms,02/05/2020,B06
200022559,Traffic Collision,01/02/2020,B02
200311284,Medical Incident,01/31/2020,B10
200141978,Medical Incident,01/14/2020,B10
200142453,Structure Fire,01/14/2020,B06
200141326,Medical Incident,01/14/2020,B08
200181366,Medical Incident,01/18/2020,B02
200233900,Alarms,01/23/2020,B01
200120253,Medical Incident,01/12/2020,B03
200373398,Medical Incident,02/06/2020,B02
200040933,Medical Incident,01/04/2020,B02
200073813,Medical Incident,01/07/2020,B05
200293150,Medical Incident,01/29/2020,B02
200283570,Medical Incident,01/28/2020,B07
200261509,Medical Incident,01/26/2020,B08
200280425,Medical Incident,01/28/2020,B03
200110113,Medical Incident,01/11/2020,B02
200163324,Outside Fire,01/16/2020,B03
200321656,Medical Incident,02/01/2020,B09
200181337,Medical Incident,01/18/2020,B08
200210151,Medical Incident,01/21/2020,B02
200141992,Medical Incident,01/14/2020,B10
200142491,Alarms,01/14/2020,B04
200231564,Medical Incident,01/23/2020,B07
200252041,Medical Incident,01/25/2020,B06
200392192,Medical Incident,02/08/2020,B06
200182765,Medical Incident,01/18/2020,B03
200273218,Medical Incident,01/27/2020,B03
200183113,Medical Incident,01/18/2020,B01
200103995,Medical Incident,01/10/2020,B02
200242031,Medical Incident,01/24/2020,B03
200053576,Medical Incident,01/05/2020,B10
200010519,Medical Incident,01/01/2020,B02
200210151,Medical Incident,01/21/2020,B02
200281950,Medical Incident,01/28/2020,B02
200363074,Medical Incident,02/05/2020,B02
200341786,Structure Fire,02/03/2020,B01
200060255,Medical Incident,01/06/2020,B02
200240094,Medical Incident,01/24/2020,B07
200210667,Medical Incident,01/21/2020,B06
200013624,Alarms,01/01/2020,B05
200383864,Medical Incident,02/07/2020,B09
200120303,Medical Incident,01/12/2020,B02
200131691,Medical Incident,01/13/2020,B02
200062326,Medical Incident,01/06/2020,B02
200210270,Medical Incident,01/21/2020,B03
200040365,Medical Incident,01/04/2020,B05
200113101,Structure Fire,01/11/2020,B03
200070139,Medical Incident,01/07/2020,B02
200170791,Water Rescue,01/17/2020,B03
200010966,Medical Incident,01/01/2020,B01
200263483,Alarms,01/26/2020,B01
200281584,Medical Incident,01/28/2020,B03
200031327,Medical Incident,01/03/2020,B01
200133617,Traffic Collision,01/13/2020,B02
200180231,Medical Incident,01/18/2020,B06
200341870,Medical Incident,02/03/2020,B09
200240408,Alarms,01/24/2020,B03
200251675,Medical Incident,01/25/2020,B07
200380557,Odor (Strange / Unknown),02/07/2020,B07
200112649,Structure Fire,01/11/2020,B01
200372985,Medical Incident,02/06/2020,B05
200022857,Medical Incident,01/02/2020,B06
200293808,Alarms,01/29/2020,B09
200102387,Medical Incident,01/10/2020,B02
200040728,Alarms,01/04/2020,B02
200180368,Medical Incident,01/18/2020,B09
200383195,Structure Fire,02/07/2020,B02
200371822,Medical Incident,02/06/2020,B02
200144082,Structure Fire,01/14/2020,B09
200063750,Structure Fire,01/06/2020,B04
200322990,Medical Incident,02/01/2020,B01
200333493,Traffic Collision,02/02/2020,B07
200382793,Medical Incident,02/07/2020,B09
200192723,Medical Incident,01/19/2020,B03
200262736,Alarms,01/26/2020,B04
200094155,Medical Incident,01/09/2020,B02
200122738,Alarms,01/12/2020,B09
200244034,Medical Incident,01/24/2020,B01
200102980,Medical Incident,01/10/2020,B03
200303230,Medical Incident,01/30/2020,B08
200241238,Medical Incident,01/24/2020,B03
200142841,Medical Incident,01/14/2020,B08
200340210,Medical Incident,02/03/2020,B09
200270302,Alarms,01/27/2020,B02
200262878,Medical Incident,01/26/2020,B04
200294409,Citizen Assist / Service Call,01/29/2020,B04
200294329,Medical Incident,01/29/2020,B04
200281869,Medical Incident,01/28/2020,B03
200020122,Structure Fire,01/02/2020,B05
200362668,Alarms,02/05/2020,B08
200301352,Alarms,01/30/2020,B06
200014325,Medical Incident,01/01/2020,B10
200012650,Medical Incident,01/01/2020,B06
200191398,Gas Leak (Natural and LP Gases),01/19/2020,B01
200220127,Structure Fire,01/22/2020,B02
